,heading,text,bias_rating
3365,"Kyle Rittenhouse Testified He ""Didn't Do Anything Wrong"" When He Fatally Shot Two People","Kyle Rittenhouse, the teenager who shot at protesters in Kenosha, Wisconsin, last year and killed two people, took the stand in his murder trial Wednesday, testifying that he ""didn't do anything wrong"" and was acting in self-defense.
""I didn't intend to kill them. I intended to stop the people who were attacking me,"" Rittenhouse said about the shooting on Aug. 25, 2020.
Rittenhouse, who was 17 years old at the time, told prosecutors that he ""used deadly force"" against the victims because he perceived them to be a threat to...",left
15641,Trump will drop climate change from US National Security Strategy,The Trump administration will drop climate change from a list of global threats in a new National Security Strategy the president is due to unveil on Monday.,left
12329,President Trump Promises a COVID Vaccine Before the End of the Year,"President Donald Trump announced on Thursday that his administration will have a coronavirus vaccine ready for Americans before the year ends. The lofty promise came during his acceptance speech on the final night of the Republican National Convention.
""In recent months, our nation and the entire planet has been struck by a new and powerful invisible enemy,"" Trump said to a largely mask-less crowd of 1,500 supporters gathered on the White House lawn. ""We are delivering lifesaving therapies. And we'll produce a vaccine before the end of the year, or...",left
96,"As Trump Arrives in Israel, His Deal-Making Skills Face a Test","President Trump began a two-day visit to Israel and the West Bank on Monday, wading into a generations-old Middle East standoff that will pose an early test of whether his business deal-making skills can translate to the high-wire world of international diplomacy.",left
8608,Watchdog Report Says N.S.A. Program Is Illegal and Should End,"An independent federal privacy watchdog has concluded that the National Security Agency’s program to collect bulk phone call records has provided only “minimal” benefits in counterterrorism efforts, is illegal and should be shut down.",left
11403,5 stabbed at Hanukkah celebration in latest attack on Jews,"MONSEY, N.Y. (AP) — A knife-wielding man stormed into a rabbi’s home and stabbed five people as they celebrated Hanukkah in an Orthodox Jewish community north of New York City, an ambush the governor said Sunday was an act of domestic terrorism fueled by intolerance and a “cancer” of growing hatred in America.
Police tracked a fleeing suspect to Manhattan and made an arrest within hours of the attack Saturday night in Monsey. Grafton E. Thomas had blood all over his clothing and smelled of bleach when officers stopped him,...",left
21659,Midterm campaigns swing through Ebola hearing,"The campaign trail for two candidates in top-tier Senate races took a detour Thursday to a Capitol Hill committee room for a high-profile hearing on Ebola.
The outbreak has become a wild card issue in the midterm elections, and both Iowa Democratic Rep. Bruce Braley and Colorado Republican Rep. Cory Gardner were eager to question top Obama administration officials about the federal response at a hearing that was carried live on most television networks.
Braley is running neck-and-neck for the open Senate seat against GOP state Sen. Joni...",left
19086,"ACLU of Georgia Responds to Reports Regarding the 53,000 Voters With Pending Registrations Due to Exact Match Law","In response to media reports regarding the 53,000 voters whose voter registration applications are deemed “pending” because of the Exact Match law, the ACLU of Georgia issues the following statement.",left
6618,OPINION: Wishing for a Tank-Free Fourth,"Happy Fourth of July, everybody. I want you to have a great day. No moaning about the state of the nation.
Don’t obsess about Donald Trump! It’s true he thought watching a bunch of tanks roll through Washington, D.C., would be a great way of celebrating our national character. Fortunately, it turned out the city streets couldn’t support his vision. The military came up with a compromise, dragging in tanks and other tanklike vehicles on flatbed trucks, in a very expensive show totally unrelated to their actual function.
Some people...",left
5578,OPINION: How far will North Korea go to get the world's attention?,"North Korea has carried out its fifth nuclear test, and Kim Jong Un is smiling.
After a breathtaking run of missile and nuclear tests this year, the North Korean leader is now promising miniaturized warheads.",left
8413,"Dershowitz, Starr join Trump impeachment legal defense","WASHINGTON (AP) — President Donald Trump’s legal team for his upcoming Senate impeachment trial will include former Harvard University law professor Alan Dershowitz and Ken Starr, the independent counsel who investigated President Bill Clinton.
The team will also include Pam Bondi, the former Florida attorney general and a Trump ally, according to a person who spoke to The Associated Press on condition of anonymity because the person wasn’t authorized to speak on the record.
The lead roles for Trump’s defense will be played by White House Counsel Pat Cipollone and...",left
19337,"Google Ads bans Zero Hedge for racist content, but reverses decision on The Federalist","Google says it’s banning the site Zero Hedge from its Google Ads program for racist content — but it reversed plans to ban a second site, The Federalist, after the site removed comments from its articles. “We have strict publisher policies that govern the content ads can run on and explicitly prohibit derogatory content that promotes hatred, intolerance, violence or discrimination based on race from monetizing,” the company said in a statement to NBC News before the reversal. “When a page or site violates our policies, we take action. In...",left
10078,Trump’s Son Met With Russian Lawyer After Being Promised Damaging Information on Clinton,"President Trump’s eldest son, Donald Trump Jr., was promised damaging information about Hillary Clinton before agreeing to meet with a Kremlin-connected Russian lawyer during the 2016 campaign, according to three advisers to the White House briefed on the meeting and two others with knowledge of it.",left
10164,"Primary takeaways: A history-making upset in Florida, the establishment wins in Arizona","On a night when Arizona's Republican US Senate primary was expected to command most of the attention, a stunning upset victory in Florida's Democratic governor's race stole the show.",left
3717,Presidential Debate 2012: Obama Gets Aggressive In Rematch Against Romney,"An aggressive President Barack Obama ripped into Mitt Romney's economic blueprint in a town hall style debate Tuesday night, accusing his rival of favoring only a ""one-point plan"" to help the rich at the expense of the middle class. The Republican protested the charge was way off the mark.",left
18172,"On His Way Out, Kentucky Gov. Matt Bevin Pardons Murderers, Rapists, Hundreds More","Former Kentucky Gov. Matt Bevin departed the governor's mansion three days ago, but the reverberations of some of his final actions are still being felt across the state.
Bevin, a Republican who narrowly lost a bid for a second term last month, issued pardons to hundreds of people, including convicted rapists, murderers and drug offenders.
In one case, Bevin pardoned a man whose whose family raised more than $20,000 to pay off money still owed from his 2015 gubernatorial campaign.",left
7316,Marco Rubio's Struggle To Be More Than A Talking Point Machine,"With a solid debate performance over the weekend and a strong showing in New Hampshire Tuesday, Florida Sen. Marco Rubio had a chance to put the rest of the GOP establishment on borrowed time. Instead, there is a real danger for Rubio that a Granite State stumble could turn into a national fall.",left
10660,"Supreme Court Temporarily Blocks Gay Marriage In Idaho, Nevada","Supreme Court Justice Anthony Kennedy has temporarily blocked Tuesday's appeals court decision that struck down bans on same-sex marriage in Idaho and Nevada.
Officials in Idaho had filed a last-minute appeal to the Supreme Court following Tuesday's appeals court decision. In his order, Kennedy gave lawyers representing same-sex couples until 5 p.m. Thursday to respond to the appeal.
""The order means that gay and lesbian couples will not be able to obtain marriage licenses in that state in the meantime,"" Lyle Denniston of SCOTUSblog notes.",left
10764,Justice Department sues Texas over restrictive voting law,"The Justice Department is suing Texas over key components of the state's Republican-led voting law that federal officials say are in violation of U.S. protections for civil rights and voting access.
The lawsuit, filed on Thursday, alleges that Senate Bill 1, known as SB 1, violates part of the Voting Rights Act and Civil Rights Act by imposing restrictions at polling locations and through absentee ballots.
""In this action, the United States challenges provisions of SB 1 that deny eligible voters meaningful assistant in the voting booth and require rejection of mail ballot materials...",left
8906,Supreme Court Lets Public Schools Coerce Students Into Practicing Christianity,"In another extreme ruling, the Supreme Court has removed foundational, decades-old constitutional limits on religion in public schools. Its Monday decision in Kennedy v. Bremerton School District overruled a half-century of precedent to elevate the rights of public school officials over students. The ruling will allow these officials to engage in coercive sectarian prayer on the job. Justice Neil Gorsuch’s 6–3 decision is another maximalist attack on the separation of church and state, stripping students of their First Amendment freedom against religious indoctrination. His opinion also embraces a false narrative of faith-based persecution,...",left
16916,New Congresswoman Will Pay Her Interns $15 An Hour. Is That A Big Deal?,"When Alexandria Ocasio-Cortez takes office next month, representing New York's 14th District, she will be a part of the ""blue wave"" of new Democrats in the House. But the 29-year-old may end up being a part of a different kind of wave, too: a bipartisan effort for members of Congress to pay the interns they employ.",left
18690,Bipartisan group of senators to brief Biden on infrastructure ‘framework’ after potential breakthrough in talks,"A bipartisan group of senators tentatively reached an agreement with White House officials Wednesday on hundreds of billions of dollars in new spending for the nation’s infrastructure system, giving a significant boost toward one of President Biden’s biggest domestic policy ambitions.
Multiple senators leaving an evening negotiating session at the Capitol said the group — which included five Democrats, five Republicans and top White House officials — had reached a framework of a deal. They said senators would go to the White House on Thursday to brief Biden personally on...",left
8494,Trump endorsed 5 candidates in Tuesday’s primaries. Here are the winners.,"Donald Trump’s pick to be the next governor of Wisconsin won his primary last night — but the former president struck out, narrowly, in an attempt to take down the most powerful Republican legislator in the state.
While Adam Steen failed to defeat Wisconsin state Assembly Speaker Robin Vos, who won by a few percentage points, Trump picked candidates in a handful of other major races Tuesday as he continues stretching the power of his endorsement around the country.
We’re tracking Donald Trump’s endorsement track record through the 2022 primaries....",left
13882,"We Asian Americans are not the virus, but we can be part of the cure","Last week I was shopping for groceries and preparing to hole up at home with my wife, Evelyn, and our two boys. There was an eerie, peculiar aura in the parking lot in upstate New York as night fell and shoppers wheeled out essentials and snacks.
Three middle-aged men in hoodies and sweatshirts stood outside the entrance of the grocery store. They huddled together talking. One looked up at me and frowned. There was something accusatory in his eyes. And then, for the first time in years, I felt it....",left
16636,Davis defends Abbott wheelchair ad,"Texas state senator Wendy Davis defended her campaign's political ad that features an empty wheelchair and attacks Greg Abbott, saying ""the intent was to demonstrate (his) hypocrisy.""
Davis, a Democrat who's running against Abbott for governor this fall, told CNN affiliate KSAT in San Antonio on Saturday that Abbott has unfairly tried to block cases as attorney general that have similarities his own history.
""He rightfully had an opportunity to access the justice system when he was at the receiving end of a tragic accident,"" Davis said. ""But...",left
4770,"Starbucks: Goodbye, Plastic Straws","Starbucks announced on Monday it plans to eliminate plastic straws from its 28,000 stores worldwide by 2020.",left
2970,UPS backlog means missing Christmas gifts; Amazon responds,UPS backlog left some Americans with gifts missing from under the Christmas tree Wednesday morning.,left
12970,The Department of Justice is suing California over three state statutes that federal officials say interfere with their immigration authority.,The Department of Justice is suing California over three state statutes that federal officials say interfere with their immigration authority.,left
17557,"San Francisco is 'veering towards a public health mess' on monkeypox, lawmaker says","A Bay Area lawmaker is warning that San Francisco is ""veering toward a public health mess"" over monkeypox, citing a Wednesday announcement from the San Francisco Department of Public Health that said the agency is running low on monkeypox vaccines and will shutter its clinic at Zuckerberg San Francisco General Hospital until more supply arrives. 
State Rep. Scott Wiener (D-San Francisco) said the timing of the vaccine shortage is especially troubling given the disease's growing prevalence in the area. 
""This exhaustion of existing vaccine supply is happening exactly as San Francisco and...",left
2585,‘The most kind and considerate person I’ve ever known’: George H.W. Bush remembered by former presidents and other officials,"George H.W. Bush was remembered Sunday by three former presidents and several members of his administration, including former vice president Dan Quayle, former secretaries of state James A. Baker III and Colin L. Powell and Richard B. Cheney, who served as Bush’s defense secretary. Former presidents Barack Obama, Bill Clinton and George W. Bush, the late president’s eldest son, paid tribute in appearances on CBS’s “60 Minutes.” Asked what his father had told him when he became president, the younger Bush responded with the same words the two exchanged shortly...",left
19896,Congress gearing up to deliver stinging rebuke to Trump over trade talks with China,"As President Donald Trump in Singapore flexed his diplomatic muscles with North Korea, members of his own party back in Washington were gearing up to deliver a stinging rebuke over his efforts to normalize trade with China.",left
10847,Kim Kardashian’s Instagram story just cost her $1.26 million,"The crypto crackdown has come for Kim Kardashian.
The Securities and Exchange Commission (SEC) announced on Monday that the queen of influencers did a little too much influencing when it came to the EthereumMax (EMAX) token, which Kardashian promoted on her Instagram in June 2021. She’s agreed to pay $1.26 million and not promote crypto securities for the next three years.
The settlement shows that the SEC is ready, willing, and able to go after celebrity crypto endorsers. Many of them made plenty of money promoting what ended up being shady crypto schemes that quickly collapsed,...",left
16200,"Antifa group chants outside, vandalizes Fox commentator Tucker Carlson's home",Members of rival media networks condemned the actions of the group.,left
10695,How Mount Rushmore Became Mount Rushmore,"This year, for the first time in more than a decade, there will be a major fireworks display to commemorate Independence Day at the Mount Rushmore National Memorial.
The sculpture features the faces of four American presidents — Washington, Jefferson, Theodore Roosevelt and Lincoln — carved into a granite slope over the Black Hills of South Dakota. In the eight decades since the carving was completed, it has never been without controversy.
So when President Trump announced in May that he would attend the festivities there, it invited even more...",left
6136,Search Continues for Hundreds of Migrants After Ship Capsizes Off Libya,"Rescuers searched on Monday for survivors after a ship carrying hundreds of migrants sank in the Mediterranean Sea on Saturday night, in what could prove to be one of the deadliest such disasters in the waters between Europe and Africa.",left
9692,TRUMP WORRIED MIGRANT CARAVAN IS NOT DOING ENOUGH TO RILE UP THE BASE BEFORE THE MIDTERMS,"Donald Trump propelled himself into the White House in 2016, in large part by stoking racist fears about non-white immigrants, a key feature of the speech announcing his candidacy (“Rapists!” “Criminals!” “Drug dealers!”).",left
20264,Biden says Pope Francis told him he's a 'good Catholic' amid criticism over his abortion views,"As President Joe Biden embarked on only his second overseas trip, he started with a personally poignant audience with Pope Francis on Friday, the first time in more than half a century that a Roman Catholic U.S. leader has met at the Vatican with the head of the Catholic Church.
The White House said the private meeting lasted about 90 minutes, unusually long.
Overshadowing the meeting was criticism from conservative U.S. bishops over Biden's public, political position on abortion, some arguing Biden and others who share his views should be denied Communion.",left
3062,Senate Report Concludes No Evidence Supports Kavanaugh Misconduct Accusations,Probe of “numerous allegations” wraps up just in time for the midterm elections.,left
8438,"NRA-affiliated businesses shed ties after Parkland, Florida school shooting","Several businesses with ties to the National Rifle Association are breaking up with the group amid mounting pressure from gun-control proponents following the Parkland, Fla. school shooting.",left
169,John Conyers Steps Down From Judiciary Committee Role Amid Sexual Misconduct Claims,"Rep. John Conyers, D-Mich., has announced he is stepping down as ranking Democrat on the House Judiciary Committee. Conyers conveyed the news in a statement released Sunday by the office of House Minority Leader Nancy Pelosi.
The announcement comes roughly a week after sexual misconduct allegations surfaced publicly against the longest-serving member of the House. Those allegations were lodged by a former female employee, who had made a wrongful dismissal complaint against him that was settled two years ago.",left
19370,Obama Urges House Republicans to Act on Immigration,"President Obama on Thursday renewed his call for an immigration overhaul, telling an audience of activists at the White House that the fate of a bipartisan Senate bill now rests with Republicans in the House.",left
11429,"Officials: Hackers breach election systems in Illinois, Arizona","Hackers have breached databases for election systems in Illinois and Arizona, according to state election and law enforcement officials.",left
20919,Trump's Policy Of Forcing Asylum-Seekers To Wait In Mexico Has Been Blocked By A Federal Judge,"A federal judge has blocked the Trump administration's policy of returning Central American migrants to Mexico while they wait for their asylum cases to be processed in the US.
The ruling issued by Judge Richard Seeborg in San Francisco states that the preliminary injunction blocking the policy will take effect on Friday at 5 p.m. PT.
""Defendants are hereby enjoined and restrained from continuing to implement or expand the 'Migrant Protection Protocols' as announced in the January 25, 2018 DHS policy memorandum and as explicated in further agency memoranda,"" Seeborg...",left
4813,Minneapolis Teachers Outraged after Union Contract Suggests Race-Based Layoff Agreement,"After a two-week long strike, the Minneapolis teachers union and Minneapolis Public Schools (MPS) finally came to an agreement. However, it came with a caveat. In regards to layoffs, the new contract suggests white teachers would be considered before teachers of color, per ABC 4 News. You can imagine the outrage that announcement sparked.
In an effort to revise how the district hires and retains teachers of color, the new contract states that teachers will be subject to layoffs or job changes in “order of seniority,” unless the teacher is part of an “underrepresented group.” The Minnesota Reformer reported...",left
15410,"Obama Yields, Allowing Congress Say on Iran Nuclear Deal","The White House relented on Tuesday and said President Obama would sign a compromise bill giving Congress a voice on the proposed nuclear accord with Iran as the Senate Foreign Relations Committee, in rare unanimous agreement, moved the legislation to the full Senate for a vote.
An unusual alliance of Republican opponents of the nuclear deal and some of Mr. Obama’s strongest Democratic supporters demanded a congressional role as international negotiators work to turn this month’s nuclear framework into a final deal by June 30. White House officials insisted they...",left
20915,The Do-Little Congress heads home,"Congress is leaving town for a five-week recess after failing to address one of the most serious issues facing the nation: the crisis at the U.S.-Mexico border.
Republican leaders in the House were able to recover from an embarrassing setback by passing border legislation late Friday full of political red meat for their conservative base, including revisions to a 2008 anti-trafficking law and more money for the National Guard.",left
10290,Trump calls on NFL to suspend Raiders' Marshawn Lynch,President Donald Trump took to Twitter to criticize Oakland Raiders running back Marshawn Lynch early Monday morning.,left
15287,Trump Again Proves His Claim About Waiting For ‘Facts’ After Charlottesville Was Garbage,"U.S. President Donald Trump explained his botched response to a deadly white supremacist rally in Charlottesville, Virginia, last month by saying he needed “the facts” before broadly denouncing violence from racist groups.",left
3268,"Jobs Report: U.S. Economy Adds 114,000 Jobs In September; Jobless Rate Down To 7.8 Percent","The U.S. unemployment rate fell to 7.8 percent last month, dropping below 8 percent for the first time in nearly four years and giving President Barack Obama a potential boost with the election a month away.",left
7974,"Here's Everything You Need To Know About Bowe Bergdahl, The U.S. Captive Returning Home",U.S. Army Sgt. Bowe Bergdahl the only known American prisoner of war in Afghanistan is finally coming back to the United States.,left
19460,Seattle mayor tells Trump to 'go back to your bunker' after he criticizes her handling of protests,"(CNN) - The mayor of Seattle on Wednesday told President Donald Trump to ""go back to your bunker,"" after Trump appeared to suggest he would intervene in the city's growing protests and called for law and order.
""Take back your city NOW. If you don't do it, I will,"" the President warned Washington Gov. Jay Inslee and Seattle Mayor Jenny Durkan on Wednesday. ""This is not a game. These ugly Anarchists must be stooped [sic] IMMEDIATELY. MOVE FAST!""
Trump also claimed that the protesters, who he called ""domestic terrorists,""...",left
14648,Dueling Appointments Lead to Clash at Consumer Protection Bureau,"President Trump on Friday named his budget director as the acting director of the Consumer Financial Protection Bureau, moving to take control of the agency hours after its departing leader had taken steps to install his own choice for acting chief.",left
19637,"Iran Announces New Breach of Nuclear Deal Limits, and Threatens Further Violations","Iran said on Sunday that within hours it would breach the limits on uranium enrichment set four years ago in an accord with the United States and other international powers that was designed to keep Tehran from producing a nuclear weapon.
The latest move inches Iran closer to where it was before the accord: on the path to being able to produce an atomic bomb.",left
15484,"North Korea, South Korea trade ballistic missile tests amid stalled U.S. nuclear talks","North Korea fired two ballistic missiles off its east coast Wednesday and South Korea said hours later that it had carried out a successful test of a submarine-launched ballistic missile.
The rival launches intensified an arms race between the two countries amid stalled nuclear diplomacy with the United States and just two days after Pyongyang said it had tested a new cruise missile.
The first weapons activity by Kim Jong Un's regime in almost six months came as President Joe Biden's envoy for North Korea, Sung Kim, was in Tokyo for talks with Japan and South Korea...",left
6867,"Debate Prep? Hillary Clinton and Donald Trump Differ on That, Too","Hillary Clinton is determined to get under Donald J. Trump’s skin at Monday’s debate, and is testing attack lines to try to rattle him.
Mr. Trump is largely shunning traditional debate preparations, but has been watching video of Mrs. Clinton’s best and worst debate moments, looking for her vulnerabilities.",left
16872,Deadly End to F.B.I. Interview About Tsarnaev and 3 Killings,"BOSTON Ã¢â‚¬â€ A man in Orlando, Fla., who was being interviewed early Wednesday morning by law enforcement officers about his ties to the deceased Boston Marathon bombing suspect was fatally shot after he tried to attack the officers with a knife, according to a federal law enforcement officia",left
2973,House GOP split over immigration reform,"Immigration reform entered an uncertain new phase on Wednesday as House Republicans signaled some willingness to compromise with President Barack Obama and Democrats but rejected a Senate-passed bill and insisted they would take their time drafting their own version.
Following more than two hours of talks on how to proceed, GOP legislators said the biggest question was whether to give the 11 million immigrants living illegally in the United States a path to eventual citizenship, as provided by the Senate measure.",left
9313,"In Florida, not-yet-candidate Jeb Bush marks his territory","Former Florida Gov. Jeb Bush, who has yet to declare his candidacy, received the warmest reception out of an array of GOP presidential contenders at the Economic Growth Summit in Orlando on Tuesday.
The event was hosted at Disney World by the state's current Republican governor, Rick Scott.
While Sen. Marco Rubio, another favorite son of Florida, was set to attend the cattle call, he had to stay in Washington instead and vote on a national security bill, ceding much of the Florida storyline to Bush, his former colleague.
But...",left
3379,The Dire Warnings of the United Nations’ Latest Climate-Change Report,"In the fall of 2015, several artists in the Caribbean appeared in a film titled “1.5 Stay Alive,” featuring a series of homespun music videos. The name of the project referred to a campaign to limit the rise",left
20782,George H.W. Bush Saw Strength in Compromise. Then He Paid the Price for It.,"We pay respects to our 41st president for his lifetime of public service, and we marvel at how he was able to set aside the rough edges of a campaign when it was time to govern.",left
18659,Mattis Takes Swipe At Trump: 'I Earned My Spurs On The Battlefield',"President Trump fired him (after he submitted his resignation) and earlier this week reportedly called him ""the world's most overrated general,"" but former Defense Secretary Jim Mattis had a few barbs of his own to sling in a speech he gave in New York on Thursday.
Delivering the keynote address at the 74th Alfred E. Smith Memorial Foundation Dinner, Mattis — a retired four-star U.S. Marine general — said he felt he had finally ""achieved greatness.""
""I'm not just an overrated general, I am the greatest, the world's most overrated,""...",left
11539,"House Nears Vote To Fund Government, Defund Obamacare",The Republican-controlled House is set to vote Friday on a stopgap spending bill to keep the government open for business through the middle of December. And the White House has already said if it makes it to the presidents desk hell veto it.,left
11757,Supreme Court Lets Employers Opt Out of Providing Free Birth Control,"The justices upheld regulations from the Trump administration that allowed employers with religious objections to decline to provide contraception coverage.
The Supreme Court on Wednesday upheld a Trump administration regulation that lets employers with religious objections limit women’s access to free birth control under the Affordable Care Act.
As a consequence of the ruling, about 70,000 to 126,000 women could lose contraceptive coverage from their employers, according to government estimates.
The vote was 7 to 2, with Justices Ruth Bader Ginsburg and Sonia Sotomayor dissenting.
Contraception coverage has emerged as...",left
